first_name,second_name,name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,xG,xA,xGp90,xAp90,price
Armando,Broja,Armando Broja,4,1,47,616,13,37.7,163.8,284,9,138,48.5,2,0,0,3.6,51,FWD,2.48,0.13,0.362337662,0.018993506,5.1
Shane,Long,Shane Long,0,0,2,36,0,0.7,10.2,37,0,3,4.8,0,0,0,0.2,54,FWD,0.21,0,0.525,0,5.4
Adam,Armstrong,Adam Armstrong,2,3,47,1088,21,162.6,172,508,3,134,84.3,4,0,0,2.2,58,FWD,3.85,1.62,0.318474265,0.134007353,5.8
Harry,Kane,Harry Kane,2,1,39,1188,19,171.5,197.6,551,4,99,91.6,4,0,3,5.7,121,FWD,4.86,3.04,0.368181818,0.23030303,12.1
Dane,Scarlett,Dane Scarlett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,45,FWD,0,0,0,0,4.5
Troy,Deeney,Troy Deeney,0,0,2,23,1,10.6,2.2,14,0,5,2.7,0,0,0,0.4,54,FWD,0.11,0.03,0.430434783,0.117391304,5.4
Andre,Gray,Andre Gray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,54,FWD,0,0,0,0,5.4
Stipe,Perica,Stipe Perica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,45,FWD,0,0,0,0,4.5
Isaac,Success Ajayi,Isaac Success Ajayi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,50,FWD,0,0,0,0,5
Ashley,Fletcher,Ashley Fletcher,0,0,3,28,0,0.5,9,20,0,5,3,0,0,0,0.2,49,FWD,0.44,0,1.414285714,0,4.9
João Pedro,Junqueira de Jesus,João Pedro Junqueira de Jesus,1,1,21,447,10,108.9,95.8,131,2,67,33.6,0,0,1,0.3,54,FWD,0,0,0,0,5.4
Emmanuel,Dennis,Emmanuel Dennis,7,6,84,1168,24,239.3,410,515,15,286,116.4,1,0,6,37.9,60,FWD,3.05,2.55,0.235017123,0.196489726,6
Joshua,King,Joshua King,5,3,56,1086,20,234.4,283.2,458,5,196,97.7,0,0,3,7.6,58,FWD,6.07,2.03,0.503038674,0.168232044,5.8
Adedapo,Awokoya-Mebude,Adedapo Awokoya-Mebude,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,45,FWD,0,0,0,0,4.5
Juan Camilo,Hernández Suárez,Juan Camilo Hernández Suárez,2,1,29,605,17,224.7,148.2,189,2,126,56.2,1,0,0,1.6,50,FWD,1.05,1.18,0.156198347,0.17553719,5
Michail,Antonio,Michail Antonio,6,5,75,1438,19,397,354.6,662,12,250,141.2,4,1,3,34.8,78,FWD,6.79,4.22,0.424965229,0.264116829,7.8
Raúl,Jiménez,Raúl Jiménez,3,3,56,1395,12,303.8,237,426,9,142,96.5,6,1,3,5.8,75,FWD,3.48,1.96,0.224516129,0.126451613,7.5
Fabio,Silva,Fabio Silva,0,0,8,37,0,10.8,4.6,23,0,23,3.9,0,0,0,0.4,56,FWD,0.01,0.34,0.024324324,0.827027027,5.6
Patrick,Cutrone,Patrick Cutrone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,FWD,0,0,0,0,5
Hee-Chan,Hwang,Hee-Chan Hwang,4,0,47,981,7,126.9,198.4,237,8,175,55.7,5,0,1,6.4,55,FWD,2.4,0.82,0.220183486,0.075229358,5.5
